Date,Open,High,Low,Close,AdjClose,Volume,Name,Brand
22-01-2018,419.0499878,424.3999939,418.4500122,421.8999939,421.8999939,4643782,TATAMOTORS.NS,Tata
23-01-2018,422.7999878,422.7999878,414.75,418,418,6185011,TATAMOTORS.NS,Tata
24-01-2018,416,416.25,402.6499939,403.6000061,403.6000061,10789570,TATAMOTORS.NS,Tata
25-01-2018,403.4500122,407.6499939,398,400.2999878,400.2999878,16312167,TATAMOTORS.NS,Tata
29-01-2018,402.5,405.8999939,398.1000061,399.25,399.25,5789602,TATAMOTORS.NS,Tata
30-01-2018,400,402.2999878,395,395.8500061,395.8500061,6963005,TATAMOTORS.NS,Tata
31-01-2018,395.5,400.9500122,395.25,399.5,399.5,5111454,TATAMOTORS.NS,Tata
01-02-2018,399.8999939,403.7999878,390.5499878,393.6499939,393.6499939,7259426,TATAMOTORS.NS,Tata
02-02-2018,392,397.3999939,381.2999878,383.75,383.75,10070356,TATAMOTORS.NS,Tata
05-02-2018,381,398,380,395.7999878,395.7999878,9876017,TATAMOTORS.NS,Tata
06-02-2018,363,379.8500061,356.5,375.4500122,375.4500122,25294860,TATAMOTORS.NS,Tata
07-02-2018,380.3999939,385.3999939,375.2000122,377.7999878,377.7999878,12706795,TATAMOTORS.NS,Tata
08-02-2018,379.8999939,380,372.2000122,374.8500061,374.8500061,12452396,TATAMOTORS.NS,Tata
09-02-2018,369.8999939,373.2000122,368,368.75,368.75,8816777,TATAMOTORS.NS,Tata
12-02-2018,373.3999939,376.2000122,370.2000122,371.7999878,371.7999878,6002369,TATAMOTORS.NS,Tata
14-02-2018,372.8999939,382.2999878,370.6000061,376.8500061,376.8500061,9623436,TATAMOTORS.NS,Tata
15-02-2018,379.7999878,382.2000122,373.1000061,375.7999878,375.7999878,10225880,TATAMOTORS.NS,Tata
16-02-2018,378,379.3999939,367.6000061,370.75,370.75,8545282,TATAMOTORS.NS,Tata
19-02-2018,373.7000122,374.7000122,362.7999878,368.75,368.75,5658765,TATAMOTORS.NS,Tata
20-02-2018,370.3500061,370.8999939,366.5,369.2999878,369.2999878,3972114,TATAMOTORS.NS,Tata
21-02-2018,372.5,372.5,362.8500061,364.4500122,364.4500122,8640166,TATAMOTORS.NS,Tata
22-02-2018,363,363,357.5,358.5,358.5,10870704,TATAMOTORS.NS,Tata
23-02-2018,360.1000061,364.6000061,358.75,360.2000122,360.2000122,6751064,TATAMOTORS.NS,Tata
26-02-2018,362,373.5,362,372.0499878,372.0499878,10576794,TATAMOTORS.NS,Tata
27-02-2018,375,376.6000061,370.3500061,372.5499878,372.5499878,6156672,TATAMOTORS.NS,Tata
28-02-2018,370,373.6499939,367.1499939,369.8999939,369.8999939,8009429,TATAMOTORS.NS,Tata
01-03-2018,369.75,376.2999878,369.0499878,370.75,370.75,6991806,TATAMOTORS.NS,Tata
05-03-2018,368.75,368.75,350.1000061,352.0499878,352.0499878,14665325,TATAMOTORS.NS,Tata
06-03-2018,355.1499939,357.9500122,345,346.5,346.5,8876632,TATAMOTORS.NS,Tata
07-03-2018,345,355.2999878,343.25,347.7999878,347.7999878,15599393,TATAMOTORS.NS,Tata
08-03-2018,350.7999878,351.8999939,341.0499878,345.1499939,345.1499939,7674221,TATAMOTORS.NS,Tata
09-03-2018,345.5499878,348.7000122,340.1499939,341.5,341.5,5519224,TATAMOTORS.NS,Tata
12-03-2018,345,353.7999878,340.3500061,352.6000061,352.6000061,8238960,TATAMOTORS.NS,Tata
13-03-2018,352.6000061,356.4500122,350,353.1499939,353.1499939,6184241,TATAMOTORS.NS,Tata
14-03-2018,351,354.8999939,349.6000061,354.0499878,354.0499878,3820313,TATAMOTORS.NS,Tata
15-03-2018,354.0499878,358.3999939,351.1000061,353.1000061,353.1000061,4331145,TATAMOTORS.NS,Tata
16-03-2018,352.0499878,352.6000061,338.3999939,339.75,339.75,14205582,TATAMOTORS.NS,Tata
19-03-2018,341.2000122,342.1000061,332.5499878,335.7000122,335.7000122,9391347,TATAMOTORS.NS,Tata
20-03-2018,335.5,340.3999939,333.5499878,338.7999878,338.7999878,5080453,TATAMOTORS.NS,Tata
21-03-2018,339.8999939,342.25,332.25,333.8500061,333.8500061,6812442,TATAMOTORS.NS,Tata
22-03-2018,338.5,340.25,334.7999878,338.2000122,338.2000122,9255091,TATAMOTORS.NS,Tata
23-03-2018,330,334.7999878,329.6000061,330.8500061,330.8500061,8578297,TATAMOTORS.NS,Tata
26-03-2018,328.7999878,333.8999939,324.2999878,332.3500061,332.3500061,8907023,TATAMOTORS.NS,Tata
27-03-2018,333.9500122,335.7999878,330.1000061,331.1499939,331.1499939,6822448,TATAMOTORS.NS,Tata
28-03-2018,331.5,333.6499939,325.2000122,326.8500061,326.8500061,10975624,TATAMOTORS.NS,Tata
02-04-2018,335,340.7999878,332.7000122,339.1499939,339.1499939,9874486,TATAMOTORS.NS,Tata
03-04-2018,338.3999939,344.5,337.1499939,343.1000061,343.1000061,6989584,TATAMOTORS.NS,Tata
04-04-2018,346.7999878,363.7000122,346.25,355.6000061,355.6000061,27157199,TATAMOTORS.NS,Tata
05-04-2018,362.6000061,372.3500061,359.7999878,362.2000122,362.2000122,28886070,TATAMOTORS.NS,Tata
06-04-2018,362,368.3500061,356.4500122,364.1000061,364.1000061,13297051,TATAMOTORS.NS,Tata
09-04-2018,361.8999939,368.6000061,357,358.2999878,358.2999878,9555113,TATAMOTORS.NS,Tata
10-04-2018,360.5,362.3500061,351.5,353.25,353.25,8201215,TATAMOTORS.NS,Tata
11-04-2018,355,357.1499939,350.5,355.7999878,355.7999878,5622957,TATAMOTORS.NS,Tata
12-04-2018,358,364.3999939,357,358.3999939,358.3999939,13145938,TATAMOTORS.NS,Tata
13-04-2018,357.8999939,361,354.3999939,357.0499878,357.0499878,5935628,TATAMOTORS.NS,Tata
16-04-2018,350.7999878,352.7999878,337.5499878,339.1499939,339.1499939,19157051,TATAMOTORS.NS,Tata
17-04-2018,342.2999878,344.2000122,332.6000061,336.4500122,336.4500122,14241074,TATAMOTORS.NS,Tata
18-04-2018,338.2000122,339.75,333.3999939,334.7999878,334.7999878,6699271,TATAMOTORS.NS,Tata
19-04-2018,336.5,337,332.5,334.25,334.25,7087115,TATAMOTORS.NS,Tata
20-04-2018,335.9500122,343.25,334.6000061,336,336,11908652,TATAMOTORS.NS,Tata
